skill_id,canonical_name,abbreviation,aliases,skill_group,observed_count
SK0158,Gradient Boosting,,boosting,"Machine Learning, Statistics & Optimization",0
SK0159,Grafana,,,"DevOps, MLOps & Infrastructure",1
SK0160,Graph Theory,,,"Machine Learning, Statistics & Optimization",0
SK0161,Hypothesis Testing,,,"Machine Learning, Statistics & Optimization",0
SK0162,IBM Netezza,,,"Databases, Storage & Data Formats",0
SK0163,Incident Response,,,Security Engineering,2
SK0164,Information Extraction,,,"NLP, Vision & Multimodal AI",0
SK0165,Infrastructure as Code,IaC,,"DevOps, MLOps & Infrastructure",3
SK0166,IoT Data,,,"Databases, Storage & Data Formats",0
SK0167,JSON,,,"Databases, Storage & Data Formats",2
SK0168,Java,,,Programming & Query Languages,8
SK0169,Jira,,,Engineering Tools & Collaboration,3
SK0170,Jupyter Notebook,,,Data Analysis & BI,1
SK0171,K-Means,,K-means; K-means clustering,"Machine Learning, Statistics & Optimization",0
SK0172,Keras,,,"Machine Learning, Statistics & Optimization",0
SK0173,Kimball Modeling,,Kimball,Data Engineering & Architecture,1
SK0174,Kubeflow,,,"DevOps, MLOps & Infrastructure",2
SK0175,Kubernetes,K8s,,"DevOps, MLOps & Infrastructure",6
SK0176,LLM Evaluation,,LLM eval; LLM evaluation,Generative AI & Agentic Systems,1
SK0177,LangChain,,,Generative AI & Agentic Systems,3
SK0178,LangGraph,,,Generative AI & Agentic Systems,1
SK0179,Large Language Models,LLM,LLMs; Large Language Model,Generative AI & Agentic Systems,14
SK0180,Lazada API,,,Applied Analytics & Business Platforms,0
SK0181,Linear Algebra,,,"Machine Learning, Statistics & Optimization",0
SK0182,Linear Regression,,,"Machine Learning, Statistics & Optimization",0
SK0183,Linux/Unix Shell,,Linux shell; Unix shell; shell scripting,"DevOps, MLOps & Infrastructure",1
SK0184,Llama,,,Generative AI & Agentic Systems,1
SK0185,Logging,,,"Data Quality, Testing & Observability",3
SK0186,Long Short-Term Memory,LSTM,,"Machine Learning, Statistics & Optimization",0
SK0187,Looker,,,Data Analysis & BI,3
SK0188,Looker Studio,,Google Data Studio,Data Analysis & BI,2
SK0189,MATLAB,,,Programming & Query Languages,0
SK0190,MITRE ATT&CK,,MITRE ATTACK,Security Engineering,1
SK0191,ML Pipelines,,,"DevOps, MLOps & Infrastructure",0
SK0192,ML System Design,,,"DevOps, MLOps & Infrastructure",0
SK0193,MLOps,,ML Ops; MLops; AI/ML Ops,"DevOps, MLOps & Infrastructure",8
SK0194,MLflow,,,"DevOps, MLOps & Infrastructure",2
SK0195,Machine Learning,ML,,"Machine Learning, Statistics & Optimization",19
SK0196,Medallion Architecture,,,Data Engineering & Architecture,1
SK0197,Message Queues,,message queue,Software Engineering & APIs,1
SK0198,Meta Ads,,Facebook Ads,Applied Analytics & Business Platforms,0
SK0199,Metabase,,,Data Analysis & BI,2
SK0200,Microservices,,,Software Engineering & APIs,1
SK0201,Microsoft Azure,,Azure,Cloud Platforms & Services,11
SK0202,Microsoft Excel,,Excel; MS Excel,Data Analysis & BI,3
SK0203,Microsoft SQL Server,MSSQL,SQL Server; MS SQL Server,"Databases, Storage & Data Formats",2
SK0204,Mistral,,,Generative AI & Agentic Systems,1
SK0205,Model Context Protocol,MCP,,Generative AI & Agentic Systems,2
SK0206,Model Deployment,,model deployment,"DevOps, MLOps & Infrastructure",1
SK0207,Model Drift Monitoring,,drift monitoring,"DevOps, MLOps & Infrastructure",0
SK0208,Model Evaluation,,model evaluation,"Machine Learning, Statistics & Optimization",2
SK0209,Model Lifecycle Management,,,"DevOps, MLOps & Infrastructure",0
SK0210,Model Monitoring,,model monitoring,"DevOps, MLOps & Infrastructure",1
SK0211,Model Retraining,,,"DevOps, MLOps & Infrastructure",0
SK0212,Model Serving,,,"DevOps, MLOps & Infrastructure",4
SK0213,Model Validation,,,"Machine Learning, Statistics & Optimization",0
SK0214,Model Versioning,,,"DevOps, MLOps & Infrastructure",0
SK0215,MongoDB,,,"Databases, Storage & Data Formats",3
SK0216,Monitoring,,,"Data Quality, Testing & Observability",11
SK0217,Multi-Agent Systems,,,Generative AI & Agentic Systems,2
SK0218,MySQL,,,"Databases, Storage & Data Formats",2
SK0219,NVIDIA Triton Inference Server,,Triton Inference Server; NVIDIA Triton,"DevOps, MLOps & Infrastructure",0
SK0220,Natural Language Processing,NLP,text processing; xử lý ngôn ngữ tự nhiên,"NLP, Vision & Multimodal AI",5
SK0221,Neo4j,,,"Databases, Storage & Data Formats",1
SK0222,Nessus,,,Security Engineering,1
SK0223,Nmap,,,Security Engineering,1
SK0224,Node.js,,,Software Engineering & APIs,0
SK0225,Nuclei,,,Security Engineering,1
SK0226,NumPy,,,Data Analysis & BI,2
SK0227,ONNX,,,"DevOps, MLOps & Infrastructure",1
SK0228,Object Storage,,,"Databases, Storage & Data Formats",1
